Country,1960,1970,1980,1990,2000,2010,2020
Trinidad and Tobago,847063,988890,1127852,1266518,1332203,1410296,1518147
Tunisia,4195467,5047404,6578156,8440023,9893316,10895063,12161723
Turkiye,27510980,35540990,44089069,54324142,64113547,73195345,84135428
Tuvalu,5404,5814,7731,9182,9638,10550,11069
Tanzania,10042458,13618192,19297659,26206012,34463704,45110527,61704518
Uganda,7617746,10317212,13284026,17586630,24020697,32341728,44404611
Ukraine,42767251,47279086,49973920,51891400,49176500,45870741,44132049
Upper middle income,1201583310,1486686454,1798001594,2112908549,2375280814,2567975844,2766467575
Uruguay,2529021,2790265,2953750,3117012,3292224,3352651,3429086
United States,180671000,205052000,227225000,249623000,282162411,309327143,331511512
Uzbekistan,8372311,12011361,15947129,20510000,24650400,28562400,34232050
St. Vincent and the Grenadines,84141,98459,107480,112487,113813,109308,104632
"Venezuela, RB",8156937,11355475,15210443,19750579,24427729,28715022,28490453
British Virgin Islands,7850,9581,11109,15617,20104,27556,30910
Virgin Islands (U.S.),32500,63476,99636,103963,108642,108357,106290
Vietnam,32718461,41928849,52968270,66912613,79001142,87411012,96648685
Vanuatu,64608,87019,118156,150882,192074,245453,311685
World,3031474234,3690209960,4442348279,5293395467,6144321462,6970038720,7820963775
Samoa,113335,142771,164905,168186,184008,194672,214929
Kosovo,947000,1219000,1521000,1862000,1700000,1775680,1790133
"Yemen, Rep.",5542459,6843607,9204938,13375121,18628700,24743946,32284046
South Africa,16520441,22368306,29463549,39877570,46813266,51784921,58801927
Zambia,3119430,4281671,5720438,7686401,9891136,13792086,18927715
Zimbabwe,3806310,5202918,7049926,10113893,11834676,12839771,15669666
